name,marker-color,marker-size,marker-symbol,id,feature-type,notes,geology,lon,lat
Valley of Stones,#000000,,,330,Stone,,Sarsen,-2.57152,50.68902
Valley of Stones,#000000,,,331,Stone,,Sarsen,-2.57146,50.68899
Valley of Stones,#000000,,,332,Stone,,Sarsen,-2.57143,50.68902
Valley of Stones,#000000,,,333,Stone,,Sarsen,-2.57157,50.68902
Valley of Stones,#000000,,,334,Stone,,Sarsen,-2.5716,50.689
Valley of Stones,#000000,,,335,Stone,,Sarsen,-2.57163,50.68897
Valley of Stones,#000000,,,336,Stone,,Sarsen,-2.57159,50.68896
Valley of Stones,#000000,,,337,Stone,,Sarsen,-2.5715,50.68897
Valley of Stones,#000000,,,338,Stone,,Sarsen,-2.57148,50.68895
Valley of Stones,#000000,,,339,Stone,,Sarsen,-2.57143,50.68895
Valley of Stones,#000000,,,340,Stone,,Sarsen,-2.5715,50.68886
Valley of Stones,#000000,,,341,Stone,,Sarsen,-2.57084,50.68873
Valley of Stones,#000000,,,342,Stone,,Sarsen,-2.571,50.68875
Valley of Stones,#000000,,,343,Stone,,Sarsen,-2.57109,50.68874
Valley of Stones,#000000,,,344,Stone,,Sarsen,-2.57117,50.68871
Valley of Stones,#000000,,,345,Stone,,Sarsen,-2.57146,50.68879
Valley of Stones,#000000,,,346,Stone,,Sarsen,-2.57141,50.6888
Valley of Stones,#000000,,,347,Stone,,Sarsen,-2.57134,50.68881
Valley of Stones,#000000,,,348,Stone,,Sarsen,-2.57129,50.68879
